uniqueID,hygIndex,hipIndex,hdIndex,glieseIndex,properName,bayerDesignation,flamsteedDesignation,starConstellation,cartesianX,cartesianY,cartesianZ,cartesianVelocityX,cartesianVelocityY,cartesianVelocityZ,distanceFromSol,starColor_r,starColor_g,starColor_b,harvardLetter,yerkesClassification,numericValue,starClassification,stellarOrbitalPeriod,escapeVelocity,numberOfCSVPlanets,numberOfPlanets,starNumber,stellarMass,stellarAge,stellarLuminosity,stellarTemperature,stellarRadius,equatorialRotationVelocity,energyRadiated,innerLimitRadius,outerLimitRadius,snowLineRadius,averageOrbitalRadius,orbitalEccentricity,minSeparationToCompanion,maxSeparationToCompanion,innerForbiddenZone,outerForbiddenZone,numberofJumpPoints,gasGiantArrangement
0011100000,442,439,225213,Gl 1,,,,Scl,3.44884,0.081384,-2.63351,-1.4e-05,0.00011824,-5.33e-05,4.3399,255,197,111,M,V,2,M2.000000V,0,2.03735e+07,0,8,0,0.431,12,0.00617732,3577,0.396,0,9.28298e+06,0.0431,17.24,0.38119,0,0,0,0,0,0,2,No Gas Giant
0012100000,472,473,38,Gl 4A,,,,And,7.87878,0.195428,8.10784,5e-06,4.83e-05,-5.73e-06,11.3071,255,222,195,K,V,6,K6.000000V,0,2.07544e+07,0,2,0,0.674858,7.2,0.0584521,4318,0.597509,0,1.97125e+07,0.0674858,26.9943,1.17258,0,0,1.8,4.2,0.6,12.6,2,No Gas Giant
0012200000,117957,0,0,Gl 4B,,,,And,8.1881,0.202922,8.42601,4.04e-06,4.97e-05,-4.97e-06,11.7509,255,198,108,M,V,0.5,M0.500000V,0.181125,8.13066e+06,0,0,1,0.148154,7.2,0.0296483,3044.36,0.8547,0,4.87076e+06,0.0148154,5.92618,0.835106,0.3,0.4,1.8,4.2,0.6,12.6,0,Epistellar Gas Giant
0013100000,517,518,123,Gl 4.1A,,,,Cas,11.238,0.307211,18.3003,-8.49e-06,2.55e-05,-9.14e-06,21.4777,255,244,235,G,V,3,G3.000000V,0,1.69935e+07,0,0,0,0.972613,4.4,1.6293,5763.68,1.28447,0,6.25765e+07,0.0972613,38.9045,6.19073,0,0,21,119,7,357,0,No Gas Giant
0013200000,117958,0,0,Gl 4.1B,,,,Cas,10.6128,0.289466,17.2827,-1.43e-05,2.45e-05,-1.09e-05,20.284,255,247,248,G,V,8,G8.000000V,3.81955,1.79758e+07,0,8,1,1.96626,4.4,0.472498,11378.1,2.32067,0,9.50376e+08,0.196626,78.6503,3.33382,3.5,0.7,21,119,7,357,7,Conventional Gas Giant
0014100000,521,522,142,Gl 4.2A,,,,Phe,16.8378,0.46441,-19.4284,-3.99e-06,7.16e-05,-5.27e-06,25.7136,236,239,255,F,V,7,F7.000000V,0,1.78636e+07,2,0,0,1.23,8.9,3.02273,6245,1.47,0,8.62465e+07,0.123,49.2,8.43222,0,0,20,180,6.66667,540,0,No Gas Giant
0014200000,117959,0,0,Gl 4.2B,,,,Phe,16.7901,0.463341,-19.3737,-5.77e-06,7.3e-05,-3.27e-06,25.641,255,216,181,K,sd,5,sdK5.000000,0.0211081,1.82235e+07,0,0,1,1.0144,8.9,0.014388,8921.06,1.16492,0,3.59152e+08,0.10144,40.576,0.581757,0.1,0.8,20,180,6.66667,540,0,No Gas Giant
0015100000,522,523,0,GJ 3006,,,,Tuc,6.83577,0.188543,-15.2449,-4.13e-05,1.47e-05,-1.83e-05,16.7084,255,204,111,M,V,4,M4.000000V,0,1.39978e+07,0,9,0,0.385261,4.5,0.0032961,5262.69,0.749871,0,4.34954e+07,0.0385261,15.4104,0.278446,0,0,0,0,0,0,2,No Gas Giant
0016100000,543,544,166,Gl 5,,,,And,11.949,0.344882,6.63205,9e-08,2.52e-05,-1.31e-05,13.6705,255,247,248,G,V,8,G8.000000V,0,1.97867e+07,0,11,0,0.972101,0.7,0.607575,5489,0.946926,0,5.14736e+07,0.0972101,38.884,3.78043,0,0,0,0,0,0,2,No Gas Giant
0017100000,668,669,361,,,,,Cet,26.5117,0.957394,-7.02139,-3e-07,-1.67e-06,-1.38e-06,27.4424,255,237,222,G,V,1,G1.000000V,0,1.98671e+07,0,11,0,1.03224,2.6,1.00184,5901.33,0.997381,0,6.8772e+07,0.103224,41.2896,4.85447,0,0,0,0,0,0,2,No Gas Giant
0018100000,676,677,358,,Alpheratz,Alpha Andromedae,21 Andromedae,And,25.9746,0.951042,14.4613,-2e-08,1.96e-05,-2.65e-05,29.7442,157,180,255,B,IV,8,B8.000000IV,0,2.31678e+07,0,12,0,3.8,0.15,114.499,13800,2.7,0,2.0565e+09,0.38,152,51.8969,0,0,0,0,0,0,2,No Gas Giant
0019100000,685,687,0,GJ 3008,,,,Peg,20.7365,0.765325,6.51252,2.37e-06,-9.68e-06,-6.4e-06,21.7486,255,227,196,K,V,7,K7.000000V,0,2.03712e+07,0,0,0,0.605,10.1,0.0210281,3882,0.556,0,1.28776e+07,0.0605,24.2,0.703302,0,0,0,0,0,0,0,Eccentric Gas Giant
0020100000,721,723,404,,,,,Cas,12.0876,0.472486,27.7633,-2.62e-05,2.47e-05,-5.56e-05,30.2847,255,241,229,G,V,5,G5.000000V,0,1.83253e+07,0,0,0,1.84946,2.6,0.298126,11471.4,2.10035,0,9.81935e+08,0.184946,73.9785,2.64814,0,0,0,0,0,0,0,Epistellar Gas Giant
0021100000,736,738,0,Gl 7,,,,Scl,20.8521,0.825903,-10.6891,1.42e-06,7.92e-05,8.89e-06,23.4467,255,198,108,M,V,0,M0.000000V,0,8.2225e+06,0,7,0,0.191515,0.95,0.00972747,4031.59,1.08031,0,1.49802e+07,0.0191515,7.66062,0.478346,0,0,0,0,0,0,2,No Gas Giant
0022100000,744,746,432,Gl 8,Caph,Beta Cassiopeiae,11 Cassiopeiae,Cas,8.60001,0.344589,14.4095,1.68e-05,4.33e-05,2.39e-06,16.7842,255,250,251,F,II,2,F2.000000II,0,1.23155e+07,0,13,0,1.64056,9.2,30.0608,6810,4.12514,0,1.21955e+08,0.164056,65.6224,26.5914,0,0,0,0,0,0,1,No Gas Giant
0023100000,895,897,0,GJ 3011,,,,Psc,25.383,1.22777,-2.57415,-6.69e-06,3.14e-05,1.79e-06,25.5428,255,198,108,M,V,0,M0.000000V,0,8.54729e+06,0,7,0,0.208164,0.3,0.0257276,3802.26,1.08668,0,1.18517e+07,0.0208164,8.32657,0.777932,0,0,0,0,0,0,2,No Gas Giant
0024100000,908,910,693,Gl 10,,,6 Ceti,Cet,18.047,0.887717,-5.00004,8.23e-06,-7.26e-06,-2.76e-05,18.7477,230,234,255,F,V,8,F8.000000V,0,1.68046e+07,0,12,0,1.19865,8.8,3.38844,6191.75,1.61877,0,8.33423e+07,0.119865,47.9459,8.92774,0,0,0,0,0,0,8,No Gas Giant
0025100000,914,916,0,GJ 3012,,,,Cas,14.7174,0.729614,23.9053,-4.11e-06,3.16e-05,1.57e-06,28.082,255,227,196,K,V,7,K7.000000V,0,1.57301e+07,0,0,0,1.35408,2.2,0.108843,9692.7,2.08706,0,5.00485e+08,0.135408,54.1632,1.60008,0,0,0,0,0,0,0,Epistellar Gas Giant
0026100000,948,950,739,GJ 3013,,Theta Sculptoris,,Scl,17.3775,0.890451,-12.2441,-5.43e-06,1.72e-05,1.75e-05,21.2766,224,226,255,F,V,5,F5.000000V,0,1.90571e+07,0,0,0,1.2769,6.5,3.16228,6533.28,1.3409,0,1.03309e+08,0.12769,51.0761,8.62465,0,0,0,0,0,0,0,Epistellar Gas Giant
0027100000,972,974,0,,,,,And,23.4376,1.23519,12.0097,2.89e-06,3.64e-05,-9.38e-06,26.3644,255,205,152,K,V,3,K3.000000V,0,1.54696e+07,0,0,0,1.17253,5.7,0.194984,8440.78,1.86859,0,2.87835e+08,0.117253,46.9011,2.14162,0,0,0,0,0,0,0,Epistellar Gas Giant
0028100000,1004,1006,0,,,,,Peg,25.9193,1.42172,10.3371,1.31e-05,2.64e-05,-3.65e-05,27.9408,255,222,195,K,V,6,K6.000000V,0,1.60433e+07,0,7,0,1.38141,10.7,0.0146016,9166.85,2.04684,0,4.00399e+08,0.138141,55.2563,0.58606,0,0,0,0,0,0,1,Eccentric Gas Giant
0029100000,1029,1031,870,,,,,Tuc,10.7082,0.600442,-17.1056,3.55e-06,-1.13e-05,1.82e-06,20.1898,255,202,157,K,V,0,K0.000000V,0,2.03363e+07,0,10,0,0.923212,7.1,0.459621,5371.04,0.851347,0,4.71895e+07,0.0923212,36.9285,3.28808,0,0,0,0,0,0,4,No Gas Giant
0030100000,1066,1068,0,Gl 11A,,,,,7.06162,0.40914,18.746,2.25e-05,7.11e-05,-1e-05,20.0361,255,204,111,M,sd,4,sdM4.000000,0,1.43855e+07,0,0,0,0.206858,6.3,0.00352858,5112.42,0.38122,0,3.87363e+07,0.0206858,8.27432,0.288099,0,0,0.1,0.1,0.0333333,0.3,0,Epistellar Gas Giant
0030200000,117966,0,0,Gl 11B,,,,,9.44891,0.546364,25.0835,3.26e-05,9.35e-05,-1.43e-05,26.8097,255,195,112,M,V,3,M3.000000V,0.0399546,1.50437e+07,0,9,1,0.419563,6.3,0.00273149,5045.6,0.707034,0,3.67506e+07,0.0419563,16.7825,0.253479,0.1,0,0.1,0.1,0.0333333,0.3,3,No Gas Giant
0031100000,1081,1083,0,,,,,Scl,22.521,1.32662,-16.8947,-2.44e-05,-3.01e-05,-3.49e-05,28.1849,255,198,108,M,V,0.5,M0.500000V,0,1.97765e+07,0,11,0,0.683,0,0.0340408,3864,0.666,0,1.26404e+07,0.0683,27.32,0.894832,0,0,0,0,0,0,2,No Gas Giant
0032100000,1090,1092,0,GJ 3014A,,,,Cep,3.17151,0.18905,19.3292,-1.85e-05,2.28e-05,2.8e-06,19.5886,255,197,111,M,V,1.5,M1.500000V,0,2.05383e+07,0,6,0,0.584,8.4,0.011695,3648,0.528,0,1.00423e+07,0.0584,23.36,0.524495,0,0,0,0,0,0,2,Conventional Gas Giant
0033100000,1240,1242,0,GJ 1005A,,,,Cet,4.77924,0.32306,-1.38567,-3.38e-05,1.54e-05,-6.1e-06,4.9868,255,204,111,M,V,4,M4.000000V,0,1.79004e+07,0,7,0,0.184,8.8,0.000549035,3213,0.219,0,6.04303e+06,0.0184,7.36,0.113643,0,0,0,0,0,0,1,No Gas Giant
0034100000,1276,1276,0,GJ 3020,,,,Phe,15.1313,1.06028,-17.0012,-1.93e-05,-6.47e-06,-1.75e-05,22.7842,255,201,127,M,V,5,M5.000000V,0,1.66583e+07,0,9,0,0.612769,2.4,0.0105487,5501.26,0.84214,0,5.19351e+07,0.0612769,24.5108,0.498129,0,0,0,0,0,0,2,No Gas Giant
0035100000,1291,1292,1237,GJ 3021,,,,Hyi,3.0755,0.217909,-17.224,-7.42e-06,3.64e-05,-8.7e-07,17.4978,255,247,248,G,V,8,G8.000000V,0,1.95288e+07,1,11,0,0.9,7.5,0.616595,5540,0.9,0,5.34135e+07,0.09,36,3.80839,0,0,0,0,0,0,2,No Gas Giant
0036100000,1294,1295,0,GJ 1006A,,,,Psc,15.2994,1.0862,5.54029,1.61e-05,5.83e-05,-5.6e-05,16.3079,255,204,111,M,V,4,M4.000000V,0,1.38861e+07,0,6,0,0.397462,6.6,0.00445451,5476.23,0.786117,0,5.09962e+07,0.0397462,15.8985,0.323699,0,0,0.36,0.54,0.12,1.62,2,No Gas Giant
0036200000,117973,0,0,GJ 1006B,,,,,14.3227,1.0178,5.18762,1.54e-05,5.27e-05,-5.29e-05,15.2672,255,204,111,M,V,4,M4.000000V,10.7118,1.38249e+07,0,5,1,0.396709,6.6,0.00104617,5320.57,0.791589,0,4.54406e+07,0.0396709,15.8684,0.156871,4.5,0.2,0.36,0.54,0.12,1.62,1,No Gas Giant
0037100000,1320,1322,0,,,,,,14.1542,1.0276,-17.0749,2e-05,3.72e-05,1.88e-05,22.2025,255,204,111,M,V,4,M4.000000V,0,1.3723e+07,0,9,0,0.393489,3.7,0.00479513,5123.69,0.796864,0,3.90791e+07,0.0393489,15.7396,0.335847,0,0,0,0,0,0,2,No Gas Giant
0038100000,1346,1349,1273,Gl 13,,,,Phe,13.6727,1.00995,-17.965,4.46e-06,3.49e-05,2.38e-05,22.5989,255,241,229,G,V,5,G5.000000V,0,1.93434e+07,0,11,0,0.949704,11,0.816582,5664.51,0.967999,0,5.83796e+07,0.0949704,37.9882,4.3827,0,0,0,0,0,0,1,No Gas Giant
0039100000,1365,1368,0,Gl 14,,,,And,11.3009,0.845066,9.83317,-4.7e-06,4.11e-05,6.56e-06,15.0038,255,227,196,K,sd,7,sdK7.000000,0,2.03049e+07,0,11,0,1.16914,3.4,0.049705,9059.2,1.08148,0,3.81919e+08,0.116914,46.7658,1.08129,0,0,0,0,0,0,2,No Gas Giant
0040100000,1383,1386,0,GJ 3023,,,,And,20.1989,1.53106,11.3133,-2.93e-05,7.57e-05,4.21e-05,23.2019,255,198,108,M,V,0,M0.000000V,0,8.48172e+06,0,7,0,0.20054,8.1,0.0113553,3955.21,1.06313,0,1.38768e+07,0.020054,8.02162,0.516823,0,0,0,0,0,0,2,No Gas Giant
0041100000,1391,1392,1317,,,,38 Piscium,Psc,14.9612,1.13867,2.34333,3.49e-05,8.22e-06,1.12e-05,15.186,255,227,184,G,II,0,G0.000000II,0,3.58662e+06,0,16,0,5.80937,1.35,0.435311,8557.92,172.23,0,3.04148e+08,0.580937,232.375,3.19994,0,0,0,0,0,0,4,Epistellar Gas Giant
0042100000,1441,1444,1388,Wo 9008,,,,Cet,26.39,2.07476,-6.33355,2.38e-05,5.44e-05,-6.79e-06,27.2183,255,239,221,G,V,0,G0.000000V,0,1.79358e+07,0,12,0,1.04099,9.1,1.60546,5924,1.23412,0,6.98348e+07,0.104099,41.6396,6.14528,0,0,0,0,0,0,3,Eccentric Gas Giant
0043100000,1459,1463,0,Gl 16,,,,Psc,16.0278,1.28087,2.89385,4.6e-07,-2e-08,-2.52e-06,16.3372,255,198,109,M,V,1,M1.000000V,0,9.22944e+06,0,7,0,0.199532,4.2,0.0103371,4545.02,0.893331,0,2.41967e+07,0.0199532,7.98127,0.493108,0,0,0,0,0,0,1,No Gas Giant
0044100000,1472,1475,1326,Gl 15A,,,,And,2.57127,0.20667,2.49306,-1.7e-07,5.04e-05,1.37e-05,3.5873,255,197,111,M,V,2,M2.000000V,0,2.04682e+07,2,2,0,0.446,6.6,0.00651029,3974,0.406,0,1.41424e+07,0.0446,17.84,0.391329,0,0,3.6,8.4,1.2,25.2,1,Conventional Gas Giant
0044200000,117979,0,0,Gl 15B,,,,And,2.55776,0.20548,2.47999,-6.3e-07,4.99e-05,1.32e-05,3.568,255,204,111,M,V,3.5,M3.500000V,1512.91,1.4492e+07,0,0,1,0.308949,6.6,0.000417638,3845.49,0.561024,0,1.23999e+07,0.0308949,12.358,0.0991155,120,0.4,3.6,8.4,1.2,25.2,0,No Gas Giant
0045100000,1496,1499,1461,Gl 16.1,,,,Cet,22.9391,1.87564,-3.25636,-1.66e-05,4.59e-05,-1.46e-05,23.245,255,244,235,G,V,3,G3.000000V,0,1.31671e+07,2,12,0,1.02,9.8,1.21563,5765,2.24373,0,6.26338e+07,0.102,40.8,5.34739,0,0,0,0,0,0,2,No Gas Giant
0046100000,1529,1532,0,GJ 1008,,,,Cet,20.6936,1.72793,-3.64841,-5.01e-06,-4.22e-06,-3.04e-05,21.0837,255,198,108,M,V,0,M0.000000V,0,8.47127e+06,0,8,0,0.19967,10.6,0.042462,3823.47,1.06112,0,1.21184e+07,0.019967,7.98678,0.999406,0,0,0,0,0,0,2,No Gas Giant
0047100000,1537,1539,0,,,,,Psc,30.7978,2.58706,-1.64873,-1.41e-06,-3.98e-06,-3.26e-05,30.9502,255,216,181,K,V,5,K5.000000V,0,1.65173e+07,0,9,0,1.46838,0,0.035416,8750.35,2.05262,0,3.32439e+08,0.146838,58.7352,0.912729,0,0,0,0,0,0,4,Eccentric Gas Giant
0048100000,1543,1546,0,,,,,,27.1804,2.29295,-9.87872,-1.13e-05,7.32e-05,-1.41e-05,29.0107,255,198,108,M,V,0.5,M0.500000V,0,8.21187e+06,0,5,0,0.145417,12.7,0.00760676,3002.91,0.822396,0,4.61084e+06,0.0145417,5.81667,0.423001,0,0,0,0,0,0,2,No Gas Giant
0049100000,1594,1598,1562,,,,,And,19.4042,1.69823,15.343,2.92e-05,-1.45e-05,-2.04e-05,24.7954,255,237,222,G,V,1,G1.000000V,0,2.03061e+07,0,9,0,1.0679,8.1,0.872569,5824.93,0.987705,0,6.52792e+07,0.10679,42.716,4.53045,0,0,0,0,0,0,2,Eccentric Gas Giant
0050100000,1595,1599,1581,Gl 17,Zeta Tucanae,Zeta Tucanae,,Tuc,3.63191,0.318885,-7.77423,4.14e-05,7.5e-05,1.23e-05,8.5866,255,247,252,F,V,9.5,F9.500000V,0,1.98706e+07,0,9,0,1.05219,8.7,1.30497,5960.81,1.01631,0,7.15868e+07,0.105219,42.0877,5.54041,0,0,0,0,0,0,2,Eccentric Gas Giant
0051100000,1604,1608,0,GJ 2003,,,,Cet,22.0901,1.94619,-6.80576,-1.65e-06,1.52e-05,-1.02e-06,23.1965,255,198,109,M,V,1,M1.000000V,0,9.1987e+06,0,6,0,0.192876,5.3,0.0100647,4242.14,0.869312,0,1.83634e+07,0.0192876,7.71504,0.486566,0,0,0,0,0,0,2,No Gas Giant
0052100000,1670,1674,1624,,,,,Cep,12.0087,1.10091,29.3556,-1.08e-05,2.17e-06,4.32e-06,31.736,255,241,229,G,V,5,G5.000000V,0,2.46386e+07,0,12,0,1.66105,9.2,0.601451,7329,1.04352,0,1.63603e+08,0.166105,66.442,3.76133,0,0,0,0,0,0,4,No Gas Giant
0053100000,1692,1696,0,Gl 17.1,,,,Phe,11.9037,1.11092,-12.271,-4.71e-05,1.47e-06,-4.91e-05,17.1321,255,198,109,M,V,1,M1.000000V,0,2.03925e+07,0,9,0,0.603,7.4,0.0175227,3758,0.553,0,1.13094e+07,0.0603,24.12,0.64201,0,0,0,0,0,0,2,No Gas Giant
0054100000,1716,1720,0,GJ 3029,,,,,13.3284,1.26114,-13.9085,-2.15e-05,-3.03e-05,-2.33e-05,19.305,255,195,112,M,V,3,M3.000000V,0,1.43994e+07,0,9,0,0.402893,0,0.00423838,4793.2,0.74106,0,2.99305e+07,0.0402893,16.1157,0.315749,0,0,0,0,0,0,1,No Gas Giant
0055100000,1730,1734,0,GJ 1009,,,,Scl,15.2749,1.46637,-9.36891,-9.56e-06,4.5e-06,-1.49e-05,17.9791,255,197,111,M,V,1.5,M1.500000V,0,2.05439e+07,0,0,0,0.581,4.3,0.00967386,3619,0.525,0,9.72671e+06,0.0581,23.24,0.477026,0,0,0,0,0,0,0,Epistellar Gas Giant
0056100000,1764,1768,1815,Gl 17.2,,,,Scl,25.5992,2.50929,-13.1244,-2.79e-05,2.72e-05,-5e-05,28.8767,255,199,142,K,V,2,K2.000000V,0,1.93394e+07,0,0,0,0.822452,12.4,0.347696,5094.66,0.838642,0,3.82008e+07,0.0822452,32.8981,2.85984,0,0,0,0,0,0,0,Epistellar Gas Giant
0057100000,1799,1803,1835,Gl 17.3,,,9 Ceti,Cet,20.2905,2.0309,-4.41239,-5.27e-06,3.96e-05,6.54e-06,20.8638,255,244,235,G,V,2.5,G2.500000V,0,1.91282e+07,0,12,0,1.04921,5.3,1.0539,5794.32,1.09362,0,6.39178e+07,0.104921,41.9684,4.979,0,0,0,0,0,0,3,Eccentric Gas Giant
0058100000,1833,1837,1910,GJ 2004,,,,Scl,18.4607,1.88054,-12.1279,7.76e-06,-2.95e-06,1.14e-05,22.168,255,210,161,K,V,4,K4.000000V,0,1.6098e+07,0,0,0,1.36449,5.8,0.136647,8734.5,2.00807,0,3.30038e+08,0.136449,54.5798,1.79284,0,0,0,0,0,0,0,Epistellar Gas Giant
0059100000,1838,1842,0,GJ 3032,,,,Phe,12.3475,1.26013,-15.2692,-5.37e-06,5.2e-05,-5e-08,19.6773,255,204,111,M,V,4,M4.000000V,0,2.06515e+07,0,10,0,0.52,10.2,0.0060256,3541,0.465,0,8.91488e+06,0.052,20.8,0.37648,0,0,0,0,0,0,1,Conventional Gas Giant
0060100000,1856,1860,0,GJ 1010A,,,,Cep,4.24088,0.436015,18.7485,3.92e-06,-7.84e-05,9.4e-07,19.2271,255,197,111,M,V,2.5,M2.500000V,0,2.06433e+07,0,0,0,0.533,0.45,0.00963829,3717,0.477,0,1.08239e+07,0.0533,21.32,0.476148,0,0,22.5,877.5,7.5,2632.5,0,No Gas Giant
0060200000,117984,0,0,GJ 1010B,,,,,3.46207,0.356392,15.3079,3.19e-06,-6.08e-05,7.1e-07,15.6986,255,204,111,M,V,4.5,M4.500000V,10.5454,1.38682e+07,0,0,1,0.286426,0.45,0.000539014,4118.02,0.567971,0,1.63067e+07,0.0286426,11.4571,0.112601,4.5,0.95,22.5,877.5,7.5,2632.5,0,No Gas Giant
0061100000,1931,1936,2025,Gl 18,,,,Scl,16.1425,1.72743,-8.28153,4.3e-07,5.94e-05,4.89e-06,18.2249,255,205,152,K,V,3,K3.000000V,0,1.59167e+07,0,12,0,1.23406,6.6,0.196426,8061.11,1.85773,0,2.39437e+08,0.123406,49.3626,2.14952,0,0,0,0,0,0,3,Conventional Gas Giant
0062100000,1949,1954,2071,,,,,Phe,15.9204,1.72312,-22.0276,-5.94e-06,2.72e-05,-2.17e-06,27.2331,255,244,235,G,V,2,G2.000000V,0,1.99929e+07,0,12,0,1.01727,8.7,0.797995,5718.34,0.970586,0,6.06306e+07,0.101727,40.6908,4.33253,0,0,0,0,0,0,3,No Gas Giant
0063100000,2016,2021,2151,Gl 19,Beta Hydri,Beta Hydri,,Hyi,1.63527,0.184517,-7.27521,7.54e-06,8.16e-05,-2.03e-05,7.4588,255,239,221,G,V,0,G0.000000V,0,1.45842e+07,0,11,0,1.11498,8,3.60745,5839.18,1.99919,0,6.59203e+07,0.111498,44.5992,9.21174,0,0,0,0,0,0,3,No Gas Giant
0064100000,2069,2072,2262,Gl 20,,Kappa Phoenicis,,Phe,17.1069,1.96447,-16.4436,9.51e-06,1.34e-05,-5.24e-06,23.8095,195,210,255,A,IV,5,A5.000000IV,0,2.45717e+07,0,13,0,8.10485,9.2,13.2312,7868.33,5.11946,0,2.17341e+08,0.810485,324.194,17.6418,0,0,0,0,0,0,2,Eccentric Gas Giant
0065100000,2076,2081,2261,,Ankaa,Alpha Phoenicis,,Phe,19.0837,2.19828,-17.4833,2.32e-05,3.22e-05,-8.46e-05,25.974,255,209,138,K,II,0.5,K0.500000II,0,1.36274e+07,0,12,0,7.30415,9.5,64.4466,4436,15,0,2.19572e+07,0.730415,292.166,38.9351,0,0,0,0,0,0,2,No Gas Giant
0066100000,2114,2120,0,Gl 21,,,,Cep,5.55858,0.654911,15.4975,1.23e-05,-9.45e-06,-4.02e-06,16.4772,255,198,109,M,V,1,M1.000000V,0,2.05733e+07,0,0,0,0.576,0,0.014642,3769,0.519,0,1.14424e+07,0.0576,23.04,0.58687,0,0,0,0,0,0,0,Epistellar Gas Giant
0067100000,2420,2426,0,,,,,Cas,7.6808,1.0428,25.9528,-2.13e-05,2.91e-05,5.13e-06,27.0856,255,224,188,K,V,8,K8.000000V,0,1.75614e+07,0,12,0,1.59031,0,0.0357767,9117.76,1.96659,0,3.91891e+08,0.159031,63.6123,0.917364,0,0,0,0,0,0,1,No Gas Giant
