uniqueID,hygIndex,hipIndex,hdIndex,glieseIndex,properName,bayerDesignation,flamsteedDesignation,starConstellation,cartesianX,cartesianY,cartesianZ,cartesianVelocityX,cartesianVelocityY,cartesianVelocityZ,distanceFromSol,starColor_r,starColor_g,starColor_b,harvardLetter,yerkesClassification,numericValue,starClassification,stellarOrbitalPeriod,escapeVelocity,numberOfCSVPlanets,numberOfPlanets,starNumber,stellarMass,stellarAge,stellarLuminosity,stellarTemperature,stellarRadius,equatorialRotationVelocity,energyRadiated,innerLimitRadius,outerLimitRadius,snowLineRadius,averageOrbitalRadius,orbitalEccentricity,minSeparationToCompanion,maxSeparationToCompanion,innerForbiddenZone,outerForbiddenZone,gasGiantArrangement,numberOfJumpPoints,starSystemID
0010100000,435.0,436.0,55.0,Gl 3,,,,Tuc,5.99334,0.138488,-14.7141,-2.4e-05,-9.58e-06,-5.51e-05,15.8881,255,210,161,K,V,4.5,K4.500000V,0.0,16266000.0,0,0,0,1.08795,1.8,0.088308,6532.48,1.5682,0,103258000.0,0.108795,43.518,1.44126,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,3.0,0010000000
0011100000,442.0,439.0,225213.0,Gl 1,,,,Scl,3.44884,0.081384,-2.63351,-1.4e-05,0.00011824,-5.33e-05,4.3399,255,197,111,M,V,2.0,M2.000000V,0.0,20373500.0,0,0,0,0.431,4.6,0.00617732,3577.0,0.396,0,9282980.0,0.0431,17.24,0.38119,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,8.0,0011000000
0012100000,472.0,473.0,38.0,Gl 4A,,,,And,7.87878,0.195428,8.10784,5e-06,4.83e-05,-5.73e-06,11.3071,255,222,195,K,V,6.0,K6.000000V,0.0,20754400.0,0,10,0,0.674858,10.5,0.058452099999999986,4318.0,0.5975090000000001,0,19712500.0,0.06748580000000001,26.9943,1.17258,0.0,0.0,75.0,425.0,25.0,1275.0,No Gas Giant,4.0,0012000000
0012200000,117957.0,0.0,0.0,Gl 4B,,,,And,8.1881,0.202922,8.42601,4.04e-06,4.9700000000000015e-05,-4.97e-06,11.7509,255,198,108,M,V,0.5,M0.500000V,0.138035,8281090.0,0,0,1,0.145189,10.5,0.0296483,3008.31,0.8074359999999999,0,4644080.0,0.0145189,5.80754,0.8351059999999999,0.25,0.7,75.0,425.0,25.0,1275.0,No Gas Giant,5.0,0012000000
0013100000,517.0,518.0,123.0,Gl 4.1A,,,,Cas,11.238,0.307211,18.3003,-8.49e-06,2.55e-05,-9.14e-06,21.4777,255,244,235,G,V,3.0,G3.000000V,0.0,16993500.0,0,0,0,0.972613,8.3,1.6293,5763.68,1.28447,0,62576500.0,0.0972613,38.9045,6.19073,0.0,0.0,135.0,765.0,45.0,2295.0,No Gas Giant,4.0,0013000000
0013200000,117958.0,0.0,0.0,Gl 4.1B,,,,Cas,10.6128,0.289466,17.2827,-1.4300000000000005e-05,2.45e-05,-1.09e-05,20.284,255,247,248,G,V,8.0,G8.000000V,5.51875,17706500.0,0,0,1,2.01935,8.3,0.472498,11252.1,2.45638,0,908965000.0,0.201935,80.7739,3.33382,4.5,0.7,135.0,765.0,45.0,2295.0,Epistellar Gas Giant,6.0,0013000000
0014100000,521.0,522.0,142.0,Gl 4.2A,,,,Phe,16.8378,0.46441,-19.4284,-3.99e-06,7.159999999999999e-05,-5.27e-06,25.7136,236,239,255,F,V,7.0,F7.000000V,0.0,17863600.0,2,0,0,1.23,10.5,3.02273,6245.0,1.47,0,86246500.0,0.123,49.2,8.43222,0.0,0.0,0.6,0.6,0.2,1.8,Eccentric Gas Giant,3.0,0014000000
0014200000,117959.0,0.0,0.0,Gl 4.2B,,,,Phe,16.7901,0.463341,-19.3737,-5.77e-06,7.3e-05,-3.27e-06,25.641,255,216,181,K,sd,5.0,sdK5.000000,884.74,18655100.0,0,7,1,0.977558,10.5,0.014388,8924.93,1.0712700000000002,0,359775000.0,0.0977558,39.1023,0.581757,120.0,0.0,0.6,0.6,0.2,1.8,No Gas Giant,4.0,0014000000
0015100000,522.0,523.0,0.0,GJ 3006,,,,Tuc,6.83577,0.188543,-15.2449,-4.13e-05,1.47e-05,-1.83e-05,16.7084,255,204,111,M,V,4.0,M4.000000V,0.0,14623000.0,0,0,0,0.407729,0.3,0.0032961,5197.46,0.7271890000000001,0,41378700.0,0.0407729,16.3092,0.278446,0.0,0.0,0.0,0.0,0.0,0.0,Eccentric Gas Giant,3.0,0015000000
0016100000,543.0,544.0,166.0,Gl 5,,,,And,11.949000000000002,0.344882,6.63205,9e-08,2.52e-05,-1.31e-05,13.6705,255,247,248,G,V,8.0,G8.000000V,0.0,19786700.0,0,11,0,0.972101,1.3,0.607575,5489.0,0.946926,0,51473600.0,0.0972101,38.884,3.78043,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,7.0,0016000000
0017100000,668.0,669.0,361.0,,,,,Cet,26.5117,0.957394,-7.0213899999999985,-3e-07,-1.67e-06,-1.38e-06,27.4424,255,237,222,G,V,1.0,G1.000000V,0.0,19867100.0,0,10,0,1.03224,2.6,1.00184,5901.33,0.997381,0,68772000.0,0.103224,41.2896,4.85447,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0017000000
0018100000,676.0,677.0,358.0,,Alpheratz,Alpha Andromedae,21 Andromedae,And,25.9746,0.951042,14.4613,-2e-08,1.96e-05,-2.65e-05,29.7442,157,180,255,B,IV,8.0,B8.000000IV,0.0,23167800.0,0,14,0,3.8,4.5,114.499,13800.0,2.7,0,2056500000.0,0.38,152.0,51.8969,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0018000000
0019100000,685.0,687.0,0.0,GJ 3008,,,,Peg,20.7365,0.765325,6.5125199999999985,2.37e-06,-9.68e-06,-6.4e-06,21.7486,255,227,196,K,V,7.0,K7.000000V,0.0,20371200.0,0,11,0,0.605,4.9,0.0210281,3882.0,0.556,0,12877600.0,0.0605,24.2,0.7033020000000001,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0019000000
0020100000,721.0,723.0,404.0,,,,,Cas,12.0876,0.472486,27.7633,-2.62e-05,2.47e-05,-5.56e-05,30.2847,255,241,229,G,V,5.0,G5.000000V,0.0,17371100.0,0,13,0,1.82352,1.4,0.298126,10957.0,2.30467,0,817307000.0,0.182352,72.941,2.64814,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,2.0,0020000000
0021100000,736.0,738.0,0.0,Gl 7,,,,Scl,20.8521,0.825903,-10.6891,1.42e-06,7.92e-05,8.89e-06,23.4467,255,198,108,M,V,0.0,M0.000000V,0.0,8366730.0,0,6,0,0.204987,0.25,0.00972747,4129.96,1.11677,0,16496700.0,0.0204987,8.19946,0.478346,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,4.0,0021000000
0022100000,744.0,746.0,432.0,Gl 8,Caph,Beta Cassiopeiae,11 Cassiopeiae,Cas,8.600010000000001,0.344589,14.4095,1.6800000000000002e-05,4.33e-05,2.39e-06,16.7842,255,250,251,F,II,2.0,F2.000000II,0.0,12315500.0,0,0,0,1.6405599999999998,3.1,30.0608,6810.0,4.12514,0,121955000.0,0.164056,65.6224,26.5914,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,6.0,0022000000
0023100000,895.0,897.0,0.0,GJ 3011,,,,Psc,25.38300000000001,1.22777,-2.57415,-6.69e-06,3.14e-05,1.79e-06,25.5428,255,198,108,M,V,0.0,M0.000000V,0.0,8320940.0,0,5,0,0.199303,10.8,0.0257276,3934.14,1.09779,0,13583500.0,0.0199303,7.9721,0.777932,0.0,0.0,0.0,0.0,0.0,0.0,Eccentric Gas Giant,2.0,0023000000
0024100000,908.0,910.0,693.0,Gl 10,,,6 Ceti,Cet,18.047,0.887717,-5.00004,8.23e-06,-7.26e-06,-2.7600000000000014e-05,18.7477,230,234,255,F,V,8.0,F8.000000V,0.0,16804600.0,0,11,0,1.19865,10.0,3.38844,6191.75,1.61877,0,83342300.0,0.119865,47.9459,8.92774,0.0,0.0,0.0,0.0,0.0,0.0,Eccentric Gas Giant,3.0,0024000000
0025100000,914.0,916.0,0.0,GJ 3012,,,,Cas,14.7174,0.729614,23.9053,-4.11e-06,3.16e-05,1.57e-06,28.082,255,227,196,K,V,7.0,K7.000000V,0.0,16335400.0,0,0,0,1.42916,11.4,0.108843,9112.48,2.04256,0,390984000.0,0.14291600000000002,57.1665,1.60008,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,1.0,0025000000
0026100000,948.0,950.0,739.0,GJ 3013,,Theta Sculptoris,,Scl,17.3775,0.890451,-12.2441,-5.43e-06,1.7199999999999998e-05,1.75e-05,21.2766,224,226,255,F,V,5.0,F5.000000V,0.0,19057100.0,0,11,0,1.2769,3.7,3.16228,6533.28,1.3409,0,103309000.0,0.12769,51.0761,8.62465,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0026000000
0027100000,972.0,974.0,0.0,,,,,And,23.4376,1.23519,12.0097,2.89e-06,3.64e-05,-9.38e-06,26.3644,255,205,152,K,V,3.0,K3.000000V,0.0,15549400.0,0,12,0,1.25915,2.7,0.194984,7735.79,1.98608,0,203063000.0,0.125915,50.3659,2.14162,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0027000000
0028100000,1004.0,1006.0,0.0,,,,,Peg,25.9193,1.42172,10.3371,1.31e-05,2.64e-05,-3.65e-05,27.9408,255,222,195,K,V,6.0,K6.000000V,0.0,15824800.0,0,11,0,1.3606,4.7,0.0146016,8551.58,2.07208,0,303247000.0,0.13606,54.4239,0.58606,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,2.0,0028000000
0029100000,1029.0,1031.0,870.0,,,,,Tuc,10.7082,0.600442,-17.1056,3.55e-06,-1.13e-05,1.82e-06,20.1898,255,202,157,K,V,0.0,K0.000000V,0.0,20336300.0,0,12,0,0.923212,1.85,0.459621,5371.04,0.851347,0,47189500.0,0.0923212,36.9285,3.2880800000000003,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,6.0,0029000000
0030100000,1066.0,1068.0,0.0,Gl 11A,,,,,7.06162,0.40914,18.746,2.25e-05,7.11e-05,-1e-05,20.0361,255,204,111,M,sd,4.0,sdM4.000000,0.0,13992000.0,0,4,0,0.201573,1.8,0.00352858,5424.5,0.392668,0,49096400.0,0.0201573,8.06293,0.288099,0.0,0.0,0.4,0.4,0.13333299999999998,1.2,No Gas Giant,6.0,0030000000
0030200000,117966.0,0.0,0.0,Gl 11B,,,,,9.44891,0.5463640000000001,25.0835,3.26e-05,9.35e-05,-1.4300000000000005e-05,26.8097,255,195,112,M,V,3.0,M3.000000V,10.2529,14306600.0,0,6,1,0.40724,1.8,0.00273149,5186.03,0.7588050000000001,0,41015700.0,0.040724,16.2896,0.253479,4.0,0.0,0.4,0.4,0.13333299999999998,1.2,No Gas Giant,3.0,0030000000
0031100000,1081.0,1083.0,0.0,,,,,Scl,22.521,1.32662,-16.8947,-2.44e-05,-3.01e-05,-3.4899999999999995e-05,28.1849,255,198,108,M,V,0.5,M0.500000V,0.0,19776500.0,0,10,0,0.6829999999999999,1.45,0.0340408,3864.0,0.6659999999999999,0,12640400.0,0.0683,27.32,0.894832,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,2.0,0031000000
0032100000,1090.0,1092.0,0.0,GJ 3014A,,,,Cep,3.17151,0.18905,19.3292,-1.85e-05,2.28e-05,2.8e-06,19.5886,255,197,111,M,V,1.5,M1.500000V,0.0,20538300.0,0,8,0,0.584,8.5,0.011695,3648.0,0.528,0,10042300.0,0.0584,23.36,0.5244949999999999,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,4.0,0032000000
0033100000,1240.0,1242.0,0.0,GJ 1005A,,,,Cet,4.77924,0.32306,-1.3856700000000002,-3.3799999999999995e-05,1.5399999999999998e-05,-6.1e-06,4.9868,255,204,111,M,V,4.0,M4.000000V,0.0,17900400.0,0,0,0,0.184,11.3,0.000549035,3213.0,0.219,0,6043030.0,0.0184,7.36,0.113643,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,8.0,0033000000
0034100000,1276.0,1276.0,0.0,GJ 3020,,,,Phe,15.1313,1.06028,-17.0012,-1.93e-05,-6.47e-06,-1.75e-05,22.7842,255,201,127,M,V,5.0,M5.000000V,0.0,16457400.0,0,10,0,0.599767,2.9,0.0105487,5723.49,0.844521,0,60849100.0,0.0599767,23.9907,0.498129,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,7.0,0034000000
0035100000,1291.0,1292.0,1237.0,GJ 3021,,,,Hyi,3.0755,0.217909,-17.224,-7.42e-06,3.64e-05,-8.7e-07,17.4978,255,247,248,G,V,8.0,G8.000000V,0.0,19528800.0,1,11,0,0.9,0.9,0.616595,5540.0,0.9,0,53413500.0,0.09,36.0,3.80839,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,2.0,0035000000
0036100000,1294.0,1295.0,0.0,GJ 1006A,,,,Psc,15.2994,1.0862,5.54029,1.6100000000000002e-05,5.83e-05,-5.600000000000001e-05,16.3079,255,204,111,M,V,4.0,M4.000000V,0.0,14018900.0,0,3,0,0.410757,4.5,0.00445451,5183.17,0.797096,0,40925400.0,0.041075699999999986,16.4303,0.323699,0.0,0.0,0.9,2.1,0.3,6.3,No Gas Giant,6.0,0036000000
0036200000,117973.0,0.0,0.0,GJ 1006B,,,,,14.3227,1.0178,5.18762,1.5399999999999998e-05,5.27e-05,-5.290000000000001e-05,15.2672,255,204,111,M,V,4.0,M4.000000V,0.0638999,14363100.0,0,2,1,0.415801,4.5,0.00104617,5594.89,0.7686689999999999,0,55561900.0,0.0415801,16.632,0.156871,0.15,0.4,0.9,2.1,0.3,6.3,No Gas Giant,8.0,0036000000
0037100000,1320.0,1322.0,0.0,,,,,,14.1542,1.0276,-17.0749,2e-05,3.72e-05,1.88e-05,22.2025,255,204,111,M,V,4.0,M4.000000V,0.0,14308400.0,0,9,0,0.414161,0.15,0.00479513,5567.6,0.7715029999999999,0,54485800.0,0.0414161,16.5665,0.335847,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,6.0,0037000000
0038100000,1346.0,1349.0,1273.0,Gl 13,,,,Phe,13.6727,1.00995,-17.965,4.46e-06,3.4899999999999995e-05,2.380000000000001e-05,22.5989,255,241,229,G,V,5.0,G5.000000V,0.0,19343400.0,0,10,0,0.949704,3.4,0.8165819999999999,5664.51,0.967999,0,58379600.0,0.0949704,37.9882,4.3827,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0038000000
0039100000,1365.0,1368.0,0.0,Gl 14,,,,And,11.3009,0.845066,9.83317,-4.7e-06,4.11e-05,6.56e-06,15.0038,255,227,196,K,sd,7.0,sdK7.000000,0.0,19927200.0,0,12,0,1.21029,8.2,0.049705,9361.42,1.16237,0,435490000.0,0.121029,48.4114,1.08129,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,7.0,0039000000
0040100000,1383.0,1386.0,0.0,GJ 3023,,,,And,20.1989,1.53106,11.3133,-2.93e-05,7.57e-05,4.2100000000000014e-05,23.2019,255,198,108,M,V,0.0,M0.000000V,0.0,8543510.0,0,7,0,0.201634,8.4,0.0113553,3905.94,1.05352,0,13198200.0,0.0201634,8.06537,0.5168229999999999,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,3.0,0040000000
0041100000,1391.0,1392.0,1317.0,,,,38 Piscium,Psc,14.9612,1.13867,2.34333,3.4899999999999995e-05,8.22e-06,1.12e-05,15.186,255,227,184,G,II,0.0,G0.000000II,0.0,3569620.0,0,14,0,5.80467,2.8,0.435311,8412.67,173.734,0,284019000.0,0.580467,232.187,3.19994,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,7.0,0041000000
0042100000,1441.0,1444.0,1388.0,Wo 9008,,,,Cet,26.39,2.07476,-6.33355,2.380000000000001e-05,5.44e-05,-6.79e-06,27.2183,255,239,221,G,V,0.0,G0.000000V,0.0,17935800.0,0,10,0,1.04099,1.4,1.60546,5924.0,1.23412,0,69834800.0,0.104099,41.6396,6.1452800000000005,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,2.0,0042000000
0043100000,1459.0,1463.0,0.0,Gl 16,,,,Psc,16.0278,1.2808700000000002,2.89385,4.6e-07,-2e-08,-2.52e-06,16.3372,255,198,109,M,V,1.0,M1.000000V,0.0,9271070.0,0,7,0,0.191478,13.5,0.0103371,4342.57,0.84959,0,20165000.0,0.0191478,7.659110000000001,0.493108,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,7.0,0043000000
0044100000,1472.0,1475.0,1326.0,Gl 15A,,,,And,2.57127,0.20667,2.49306,-1.7e-07,5.04e-05,1.3699999999999998e-05,3.5873,255,197,111,M,V,2.0,M2.000000V,0.0,20468200.0,2,3,0,0.446,4.2,0.00651029,3974.0,0.406,0,14142400.0,0.0446,17.84,0.391329,0.0,0.0,5.0,15.0,1.66667,45.0,Conventional Gas Giant,8.0,0044000000
0044200000,117979.0,0.0,0.0,Gl 15B,,,,And,2.55776,0.20548,2.4799900000000004,-6.3e-07,4.99e-05,1.32e-05,3.568,255,204,111,M,V,3.5,M3.500000V,0.144475,14102100.0,0,0,1,0.302571,4.2,0.000417638,4158.54,0.580241,0,16958000.0,0.0302571,12.1029,0.0991155,0.25,0.5,5.0,15.0,1.66667,45.0,No Gas Giant,5.0,0044000000
0045100000,1496.0,1499.0,1461.0,Gl 16.1,,,,Cet,22.9391,1.87564,-3.25636,-1.66e-05,4.59e-05,-1.46e-05,23.245,255,244,235,G,V,3.0,G3.000000V,0.0,13777700.0,2,12,0,1.02,8.9,1.21563,5765.0,2.04925,0,62633800.0,0.102,40.8,5.34739,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,6.0,0045000000
0046100000,1529.0,1532.0,0.0,GJ 1008,,,,Cet,20.6936,1.72793,-3.64841,-5.01e-06,-4.22e-06,-3.04e-05,21.0837,255,198,108,M,V,0.0,M0.000000V,0.0,8266020.0,0,0,0,0.196469,5.9,0.042462,3911.88,1.09661,0,13278600.0,0.0196469,7.858739999999999,0.999406,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,6.0,0046000000
0047100000,1537.0,1539.0,0.0,,,,,Psc,30.7978,2.58706,-1.64873,-1.41e-06,-3.98e-06,-3.26e-05,30.9502,255,216,181,K,V,5.0,K5.000000V,0.0,16020800.0,0,13,0,1.4031,0.8,0.035416,8954.89,2.08482,0,364630000.0,0.14031,56.1241,0.912729,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,0.0,0047000000
0048100000,1543.0,1546.0,0.0,,,,,,27.1804,2.29295,-9.87872,-1.13e-05,7.32e-05,-1.41e-05,29.0107,255,198,108,M,V,0.5,M0.500000V,0.0,8076670.0,0,7,0,0.143801,6.5,0.00760676,3068.17,0.840717,0,5024940.0,0.014380100000000003,5.75206,0.423001,0.0,0.0,0.0,0.0,0.0,0.0,Conventional Gas Giant,0.0,0048000000
0049100000,1594.0,1598.0,1562.0,,,,,And,19.4042,1.69823,15.343,2.92e-05,-1.4499999999999993e-05,-2.04e-05,24.7954,255,237,222,G,V,1.0,G1.000000V,0.0,20306100.0,0,0,0,1.0679,2.4,0.872569,5824.93,0.987705,0,65279200.0,0.10679,42.716,4.53045,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,2.0,0049000000
0050100000,1595.0,1599.0,1581.0,Gl 17,Zeta Tucanae,Zeta Tucanae,,Tuc,3.63191,0.318885,-7.77423,4.14e-05,7.5e-05,1.23e-05,8.5866,255,247,252,F,V,9.5,F9.500000V,0.0,19870600.0,0,8,0,1.05219,7.9,1.30497,5960.81,1.01631,0,71586800.0,0.105219,42.0877,5.54041,0.0,0.0,0.0,0.0,0.0,0.0,Eccentric Gas Giant,8.0,0050000000
0051100000,1604.0,1608.0,0.0,GJ 2003,,,,Cet,22.0901,1.94619,-6.80576,-1.65e-06,1.52e-05,-1.02e-06,23.1965,255,198,109,M,V,1.0,M1.000000V,0.0,9202480.0,0,7,0,0.193643,6.7,0.0100647,4481.28,0.8720530000000001,0,22867600.0,0.0193643,7.745719999999999,0.486566,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,2.0,0051000000
0052100000,1670.0,1674.0,1624.0,,,,,Cep,12.0087,1.10091,29.3556,-1.0800000000000003e-05,2.17e-06,4.32e-06,31.736,255,241,229,G,V,5.0,G5.000000V,0.0,24638600.0,0,12,0,1.66105,4.9,0.6014510000000001,7329.0,1.04352,0,163603000.0,0.166105,66.442,3.7613300000000014,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,1.0,0052000000
0053100000,1692.0,1696.0,0.0,Gl 17.1,,,,Phe,11.9037,1.11092,-12.271,-4.71e-05,1.47e-06,-4.91e-05,17.1321,255,198,109,M,V,1.0,M1.000000V,0.0,20392500.0,0,0,0,0.603,0.55,0.0175227,3758.0,0.5529999999999999,0,11309400.0,0.0603,24.12,0.6420100000000001,0.0,0.0,0.0,0.0,0.0,0.0,Eccentric Gas Giant,5.0,0053000000
0054100000,1716.0,1720.0,0.0,GJ 3029,,,,,13.3284,1.26114,-13.9085,-2.15e-05,-3.03e-05,-2.33e-05,19.305,255,195,112,M,V,3.0,M3.000000V,0.0,13767100.0,0,0,0,0.380066,5.8,0.00423838,5181.79,0.764754,0,40881800.0,0.0380066,15.2026,0.315749,0.0,0.0,0.0,0.0,0.0,0.0,Eccentric Gas Giant,5.0,0054000000
0055100000,1730.0,1734.0,0.0,GJ 1009,,,,Scl,15.2749,1.4663700000000002,-9.36891,-9.56e-06,4.5e-06,-1.49e-05,17.9791,255,197,111,M,V,1.5,M1.500000V,0.0,20543900.0,0,0,0,0.581,9.3,0.00967386,3619.0,0.525,0,9726710.0,0.0581,23.24,0.477026,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,6.0,0055000000
0056100000,1764.0,1768.0,1815.0,Gl 17.2,,,,Scl,25.5992,2.50929,-13.1244,-2.79e-05,2.72e-05,-5e-05,28.8767,255,199,142,K,V,2.0,K2.000000V,0.0,19339400.0,0,11,0,0.8224520000000001,4.2,0.347696,5094.66,0.838642,0,38200800.0,0.0822452,32.8981,2.85984,0.0,0.0,0.0,0.0,0.0,0.0,No Gas Giant,1.0,0056000000
0057100000,1799.0,1803.0,1835.0,Gl 17.3,,,9 Ceti,Cet,20.2905,2.0309,-4.41239,-5.27e-06,3.96e-05,6.54e-06,20.8638,255,244,235,G,V,2.5,G2.500000V,0.0,19128200.0,0,0,0,1.04921,1.45,1.0539,5794.32,1.09362,0,63917800.0,0.104921,41.9684,4.979,0.0,0.0,0.0,0.0,0.0,0.0,Epistellar Gas Giant,4.0,0057000000
