,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,uniqueID,numberOfStars,systemAge,gardenWorldPresent,cartesianX,cartesianY,cartesianZ,cartesianVelocityX,cartesianVelocityY,cartesianVelocityZ
19,19,19,19,0019000000,1,10.1,0,20.7365,0.765325,6.5125199999999985,2.37e-06,-9.68e-06,-6.4e-06
20,20,20,20,0020000000,1,2.6,0,12.0876,0.472486,27.7633,-2.62e-05,2.47e-05,-5.56e-05
21,21,21,21,0021000000,1,0.95,0,20.8521,0.825903,-10.6891,1.42e-06,7.92e-05,8.89e-06
22,22,22,22,0022000000,1,9.2,0,8.600010000000001,0.344589,14.4095,1.6800000000000002e-05,4.33e-05,2.39e-06
23,23,23,23,0023000000,1,0.3,0,25.38300000000001,1.22777,-2.57415,-6.69e-06,3.14e-05,1.79e-06
24,24,24,24,0024000000,1,8.8,0,18.047,0.887717,-5.00004,8.23e-06,-7.26e-06,-2.7600000000000014e-05
25,25,25,25,0025000000,1,2.2,0,14.7174,0.729614,23.9053,-4.11e-06,3.16e-05,1.57e-06
26,26,26,26,0026000000,1,6.5,0,17.3775,0.890451,-12.2441,-5.43e-06,1.7199999999999998e-05,1.75e-05
27,27,27,27,0027000000,1,5.7,0,23.4376,1.23519,12.0097,2.89e-06,3.64e-05,-9.38e-06
28,28,28,28,0028000000,1,10.7,0,25.9193,1.42172,10.3371,1.31e-05,2.64e-05,-3.65e-05
29,29,29,29,0029000000,1,7.1,0,10.7082,0.600442,-17.1056,3.55e-06,-1.13e-05,1.82e-06
30,30,30,30,0030000000,2,6.3,0,16.5105,0.955504,43.8294,5.51e-05,0.0001646,-2.43e-05
31,31,31,31,0031000000,1,0.0,0,22.521,1.32662,-16.8947,-2.44e-05,-3.01e-05,-3.4899999999999995e-05
32,32,32,32,0032000000,1,8.4,0,3.17151,0.18905,19.3292,-1.85e-05,2.28e-05,2.8e-06
33,33,33,33,0033000000,1,8.8,0,4.77924,0.32306,-1.3856700000000002,-3.3799999999999995e-05,1.5399999999999998e-05,-6.1e-06
34,34,34,34,0034000000,1,2.4,0,15.1313,1.06028,-17.0012,-1.93e-05,-6.47e-06,-1.75e-05
35,35,35,35,0035000000,1,7.5,0,3.0755,0.217909,-17.224,-7.42e-06,3.64e-05,-8.7e-07
36,36,36,36,0036000000,2,6.6,0,29.6222,2.104,10.7279,3.15e-05,0.000111,-0.0001089
37,37,37,37,0037000000,1,3.7,0,14.1542,1.0276,-17.0749,2e-05,3.72e-05,1.88e-05
38,38,38,38,0038000000,1,11.0,0,13.6727,1.00995,-17.965,4.46e-06,3.4899999999999995e-05,2.380000000000001e-05
39,39,39,39,0039000000,1,3.4,0,11.3009,0.845066,9.83317,-4.7e-06,4.11e-05,6.56e-06
40,40,40,40,0040000000,1,8.1,0,20.1989,1.53106,11.3133,-2.93e-05,7.57e-05,4.2100000000000014e-05
41,41,41,41,0041000000,1,1.35,0,14.9612,1.13867,2.34333,3.4899999999999995e-05,8.22e-06,1.12e-05
42,42,42,42,0042000000,1,9.1,0,26.39,2.07476,-6.33355,2.380000000000001e-05,5.44e-05,-6.79e-06
43,43,43,43,0043000000,1,4.2,0,16.0278,1.2808700000000002,2.89385,4.6e-07,-2e-08,-2.52e-06
44,44,44,44,0044000000,2,6.6,0,5.12904,0.41215,4.97305,-8e-07,0.00010029999999999996,2.69e-05
45,45,45,45,0045000000,1,9.8,0,22.9391,1.87564,-3.25636,-1.66e-05,4.59e-05,-1.46e-05
46,46,46,46,0046000000,1,10.6,0,20.6936,1.72793,-3.64841,-5.01e-06,-4.22e-06,-3.04e-05
47,47,47,47,0047000000,1,0.0,0,30.7978,2.58706,-1.64873,-1.41e-06,-3.98e-06,-3.26e-05
48,48,48,48,0048000000,1,12.7,0,27.1804,2.29295,-9.87872,-1.13e-05,7.32e-05,-1.41e-05
49,49,49,49,0049000000,1,8.1,0,19.4042,1.69823,15.343,2.92e-05,-1.4499999999999993e-05,-2.04e-05
50,50,50,50,0050000000,1,8.7,0,3.63191,0.318885,-7.77423,4.14e-05,7.5e-05,1.23e-05
51,51,51,51,0051000000,1,5.3,0,22.0901,1.94619,-6.80576,-1.65e-06,1.52e-05,-1.02e-06
52,52,52,52,0052000000,1,9.2,0,12.0087,1.10091,29.3556,-1.0800000000000003e-05,2.17e-06,4.32e-06
53,53,53,53,0053000000,1,7.4,0,11.9037,1.11092,-12.271,-4.71e-05,1.47e-06,-4.91e-05
54,54,54,54,0054000000,1,0.0,0,13.3284,1.26114,-13.9085,-2.15e-05,-3.03e-05,-2.33e-05
55,55,55,55,0055000000,1,4.3,0,15.2749,1.4663700000000002,-9.36891,-9.56e-06,4.5e-06,-1.49e-05
56,56,56,56,0056000000,1,12.4,0,25.5992,2.50929,-13.1244,-2.79e-05,2.72e-05,-5e-05
57,57,57,57,0057000000,1,5.3,0,20.2905,2.0309,-4.41239,-5.27e-06,3.96e-05,6.54e-06
58,58,58,58,0058000000,1,5.8,0,18.4607,1.88054,-12.1279,7.76e-06,-2.95e-06,1.14e-05
59,59,59,59,0059000000,1,10.2,0,12.3475,1.26013,-15.2692,-5.37e-06,5.2e-05,-5e-08
60,60,60,60,0060000000,2,0.45,0,7.70295,0.792407,34.0564,7.11e-06,-0.0001392,1.65e-06
61,61,61,61,0061000000,1,6.6,0,16.1425,1.72743,-8.28153,4.3e-07,5.94e-05,4.89e-06
62,62,62,62,0062000000,1,8.7,0,15.9204,1.72312,-22.0276,-5.94e-06,2.72e-05,-2.17e-06
63,63,63,63,0063000000,1,8.0,0,1.63527,0.184517,-7.27521,7.54e-06,8.159999999999999e-05,-2.03e-05
64,64,64,64,0064000000,1,9.2,0,17.1069,1.96447,-16.4436,9.51e-06,1.34e-05,-5.24e-06
65,65,65,65,0065000000,1,9.5,0,19.0837,2.19828,-17.4833,2.32e-05,3.2200000000000003e-05,-8.46e-05
66,66,66,66,0066000000,1,0.0,0,5.55858,0.654911,15.4975,1.23e-05,-9.45e-06,-4.02e-06
67,67,67,67,0067000000,1,0.0,0,7.6808,1.0428,25.9528,-2.13e-05,2.9100000000000013e-05,5.13e-06
68,68,68,68,0068000000,1,2.9,0,11.1884,1.58522,-22.2654,-1.98e-05,6.2e-05,-5.53e-06
69,69,69,69,0069000000,2,8.3,0,7.735069999999999,1.10373,18.62,-4.81e-06,0.0001705,-1.25e-05
70,70,70,70,0070000000,1,9.0,0,15.3831,2.33087,-20.1838,2.1e-05,3.16e-05,-2.53e-05
71,71,71,71,0071000000,1,0.8,0,22.605,3.43,-1.81654,-1.74e-06,1.19e-05,8.7e-07
72,72,72,72,0072000000,1,2.0,0,20.9946,3.23274,19.598,1.11e-05,-2.21e-05,-6.74e-06
73,73,73,73,0073000000,1,8.0,0,12.8063,1.97376,-26.212,-8.55e-05,0.00011327,-3.5e-05
74,74,74,74,0074000000,2,5.5,0,41.7214,6.46698,-2.65102,6.98e-06,8.58e-05,-7.15e-06
75,75,75,75,0075000000,1,6.2,0,21.8665,3.42136,-18.405,-1.7100000000000002e-05,1.3699999999999998e-05,-1.7800000000000002e-05
76,76,76,76,0076000000,2,11.2,0,27.7178,4.55732,-12.9597,5.04e-06,0.00021448,-2.033e-05
77,77,77,77,0077000000,1,0.45,0,14.2794,2.40588,18.7575,1.3699999999999998e-05,-6.32e-06,-9.58e-06
78,78,78,78,0078000000,1,2.2,0,10.1556,1.76163,4.00836,-1.96e-05,-2.85e-05,-3.07e-05
79,79,79,79,0079000000,1,6.1,0,16.92,2.98195,-16.7386,-2.75e-05,5.22e-05,-1.85e-05
80,80,80,80,0080000000,1,10.5,0,12.4865,2.22575,-21.493,2.75e-05,0.00011343,2.59e-05
81,81,81,81,0081000000,1,10.0,0,26.0147,4.65112,-11.6585,-8.23e-05,7.57e-05,-2.57e-05
82,82,82,82,0082000000,1,3.4,0,25.8779,4.65517,-3.33682,6.12e-06,1.18e-06,-1.27e-05
83,83,83,83,0083000000,1,0.9,0,13.0277,2.3452900000000003,11.1812,-1.9e-05,2.69e-05,-8.53e-05
84,84,84,84,0084000000,1,2.1,0,15.994000000000002,2.92881,-10.8136,-6.92e-06,-3.48e-05,-1.97e-05
85,85,85,85,0085000000,1,5.8,0,18.6314,3.5207900000000003,13.5492,-1.0800000000000003e-05,2.84e-05,6.55e-06
86,86,86,86,0086000000,1,7.8,0,26.2266,4.97288,11.1442,-1.14e-05,5.5e-05,2.34e-06
87,87,87,87,0087000000,1,8.8,0,16.7783,3.22701,11.4572,-5.69e-06,-2.17e-05,-4.93e-05
88,88,88,88,0088000000,1,7.8,0,27.5836,5.31046,-9.11979,7.82e-06,3.55e-05,2.5e-07
89,89,89,89,0089000000,1,11.1,0,29.172,5.75229,-10.2072,2.65e-05,4.73e-05,1.75e-05
90,90,90,90,0090000000,1,6.5,0,8.92218,1.76075,-20.0943,-3.3799999999999995e-05,1.05e-05,-0.00012376
91,91,91,91,0091000000,1,5.6,0,24.3257,4.80999,-10.0216,1.7800000000000002e-05,-5.21e-06,4.7e-06
92,92,92,92,0092000000,1,1.05,0,21.1396,4.21276,0.6719510000000001,1.28e-05,-2.68e-06,-5.96e-05
93,93,93,93,0093000000,1,0.65,0,29.625,5.95705,-6.91018,-1.83e-05,-8.63e-06,-2.72e-05
94,94,94,94,0094000000,1,6.9,0,10.0274,2.02916,-11.1852,-6.23e-06,1.25e-05,1.25e-05
95,95,95,95,0095000000,2,4.8,0,23.2233,4.70426,-21.2674,-5.42e-05,3.15e-05,2.27e-05
96,96,96,96,0096000000,2,11.1,0,47.29600000000001,9.83991,-16.9913,2.6e-06,-1.4800000000000002e-05,-7.31e-05
97,97,97,97,0097000000,1,1.25,0,23.1524,4.94466,-2.12767,-5.67e-06,2.04e-05,-1.4300000000000005e-05
98,98,98,98,0098000000,1,2.5,0,7.258369999999997,1.5555,0.6860930000000001,-1.2e-05,2.55e-05,-4.2e-05
99,99,99,99,0099000000,1,8.7,0,21.9242,4.75806,6.8335300000000005,1.02e-05,1.95e-06,-2.08e-05
100,100,100,100,0100000000,1,13.2,0,13.5198,2.93721,-16.5731,-2.26e-05,2.28e-05,-1.44e-05
101,101,101,101,0101000000,2,1.5,0,6.19686,1.34801,10.0769,2.21e-05,6.929999999999999e-05,-2.4e-07
102,102,102,102,0102000000,1,8.3,0,4.14696,0.903519,0.400348,5.350000000000001e-05,3.77e-05,-5.06e-05
103,103,103,103,0103000000,1,0.95,0,16.7771,3.67688,-7.36579,-1.26e-06,4.77e-05,7.94e-06
104,104,104,104,0104000000,1,9.5,0,7.06842,1.55974,20.3837,-3.73e-05,3.15e-05,-2.04e-05
105,105,105,105,0105000000,1,6.5,0,16.2432,3.58655,-23.4011,3.45e-06,1.34e-05,4.44e-06
106,106,106,106,0106000000,1,7.8,0,15.1132,3.35926,-2.90978,8.62e-06,-1.57e-05,-1.87e-05
107,107,107,107,0107000000,1,0.35,0,10.4911,2.35245,4.97176,-1.51e-06,1.13e-05,-2.18e-06
108,108,108,108,0108000000,1,0.0,0,20.9038,4.74739,-1.89023,-7.12e-06,2.64e-05,-1.24e-05
109,109,109,109,0109000000,1,1.65,0,19.7331,4.49797,6.866060000000001,1.36e-05,8.84e-06,-2.410000000000001e-05
110,110,110,110,0110000000,1,11.4,0,9.48222,2.16725,15.7502,-7.020000000000001e-05,0.00012819999999999994,4.66e-06
111,111,111,111,0111000000,2,0.0,0,27.682,6.33769,-12.0018,-2.173e-05,8.909999999999997e-05,-4.35e-05
112,112,112,112,0112000000,1,11.5,0,29.0778,6.71327,11.2069,-5.5e-07,2.79e-05,-1.53e-05
113,113,113,113,0113000000,1,8.4,0,26.6123,6.16302,3.25876,-7.9e-07,5.06e-06,-3.15e-06
114,114,114,114,0114000000,1,1.3,0,11.9034,2.80391,-7.162439999999999,-1.47e-05,4.03e-05,5.47e-06
115,115,115,115,0115000000,1,11.2,0,8.810319999999997,2.0773900000000003,16.4137,-1.72e-06,-6.8e-06,2.61e-05
116,116,116,116,0116000000,1,4.4,0,17.5457,4.16359,-15.808,-1.52e-05,-1.82e-06,-1.74e-05
117,117,117,117,0117000000,1,6.0,0,18.1293,4.34305,19.2673,-1.55e-05,3.69e-05,6.31e-06
118,118,118,118,0118000000,1,7.1,0,25.7681,6.30397,11.8667,8.41e-06,-2.47e-05,-2.67e-05
119,119,119,119,0119000000,1,8.8,0,25.6916,6.38431,-15.0852,6.52e-06,6.17e-05,1.76e-05
120,120,120,120,0120000000,1,1.5,0,23.5234,5.95676,-4.97615,3.4e-07,-2.49e-05,-2.82e-05
121,121,121,121,0121000000,1,2.5,0,8.474839999999999,2.15523,22.8322,-1.33e-05,8.41e-05,-5.710000000000001e-05
122,122,122,122,0122000000,1,5.7,0,17.5425,4.47732,-22.83,-1.86e-05,1.03e-05,-1.23e-05
123,123,123,123,0123000000,1,3.7,0,8.86952,2.26613,-17.3965,-8.73e-06,9.89e-05,-4.28e-06
124,124,124,124,0124000000,1,6.6,0,10.5686,2.75615,-5.7724699999999975,9.99e-06,8.27e-05,-3.64e-05
125,125,125,125,0125000000,1,3.3,0,27.4663,7.39916,-13.6377,-1.7899999999999998e-05,6.22e-05,-2.36e-06
126,126,126,126,0126000000,1,12.3,0,19.3093,5.3869099999999985,-3.68788,-2.3e-05,-4.24e-06,-1.3699999999999998e-05
127,127,127,127,0127000000,1,1.3,0,20.2833,5.66412,1.86521,8.03e-06,3.84e-05,2.44e-05
128,128,128,128,0128000000,1,2.5,0,27.7728,7.7624,-11.4236,-1.13e-05,3.3799999999999995e-05,-4.48e-06
129,129,129,129,0129000000,1,5.7,0,2.4932,0.697723,7.81913,-4.63e-06,7.11e-05,-4e-06
130,130,130,130,0130000000,1,1.8,0,4.45132,1.24802,8.822289999999997,-1.58e-05,3.2200000000000003e-05,-3.07e-06
131,131,131,131,0131000000,1,10.1,0,8.70389,2.45285,23.8395,2.09e-06,2.93e-05,-2.54e-05
132,132,132,132,0132000000,2,6.9,0,30.1096,8.525310000000001,11.4508,-3.12e-05,0.0001011,6.58e-06
133,133,133,133,0133000000,1,2.1,0,21.7439,6.20097,19.5572,1.04e-05,2.13e-05,-1.83e-05
134,134,134,134,0134000000,1,10.1,0,20.7975,6.0031300000000005,-10.3736,-1.17e-05,-7.52e-06,-3.45e-05
135,135,135,135,0135000000,1,3.2,0,25.2564,7.30669,12.8918,-1.33e-05,4.3e-05,1.72e-06
136,136,136,136,0136000000,1,1.1,0,24.4523,7.18495,7.0152800000000015,1.08e-06,1.17e-06,-2.58e-05
137,137,137,137,0137000000,1,4.9,0,20.4317,6.1192800000000025,5.8239,1.03e-05,-9.45e-06,-2.62e-05
138,138,138,138,0138000000,1,0.4,0,17.65,5.29445,-22.7468,-1.35e-05,6.850000000000001e-05,-5.96e-06
139,139,139,139,0139000000,1,1.75,0,6.28011,1.89418,13.4142,-5.1e-05,0.00010168,1.28e-05
140,140,140,140,0140000000,1,2.7,0,22.5509,6.8113600000000005,-14.9669,-1.09e-05,-5.3e-06,-1.89e-05
141,141,141,141,0141000000,2,10.5,0,36.8257,11.1939,16.3023,3.72e-05,3.26e-05,-8.88e-05
142,142,142,142,0142000000,1,6.7,0,23.2951,7.1196899999999985,19.9037,8.29e-06,-1.02e-05,3.64e-06
143,143,143,143,0143000000,2,6.5,0,8.29932,2.54801,12.3621,-3.747e-05,0.00025066,-0.00014886
144,144,144,144,0144000000,1,0.0,0,25.6031,7.909889999999999,8.316930000000001,-8.63e-06,-1.14e-05,-8.68e-05
145,145,145,145,0145000000,1,1.4,0,19.5863,6.10122,-9.43093,-8.72e-06,3.15e-05,2.28e-06
146,146,146,146,0146000000,1,0.6,0,2.99602,0.950129,-7.56747,2.51e-05,2.42e-05,-1.59e-05
147,147,147,147,0147000000,1,11.5,0,18.8899,6.01932,18.4438,2.32e-05,-1.3800000000000007e-05,-1.92e-05
148,148,148,148,0148000000,1,2.0,0,3.35377,1.09798,-1.07883,2.25e-05,3.01e-05,2.69e-06
149,149,149,149,0149000000,1,0.55,0,19.4687,6.39805,-9.65884,-3.5000000000000016e-06,1.3699999999999998e-05,2.02e-06
150,150,150,150,0150000000,1,7.1,0,26.6195,8.90432,8.311580000000001,1.59e-06,2.51e-06,-7.8e-06
151,151,151,151,0151000000,2,4.5,0,44.8463,15.089,-6.5792800000000025,4.06e-05,4.48e-05,5.8e-05
152,152,152,152,0152000000,1,2.8,0,9.23683,3.11617,-13.3889,1.64e-05,1.44e-05,1.47e-05
153,153,153,153,0153000000,2,10.9,0,14.6295,4.96739,-39.8712,-9.69e-06,8.55e-05,7.08e-06
154,154,154,154,0154000000,1,7.6,0,10.0236,3.4116,-10.7866,1e-06,5.18e-05,6.8e-07
155,155,155,155,0155000000,2,9.0,0,14.109000000000002,4.84191,-38.6076,-1.42e-06,8.48e-05,3.6e-07
156,156,156,156,0156000000,1,2.7,0,23.943,8.29138,-5.4306,-5.63e-06,1.59e-05,-5.7e-07
157,157,157,157,0157000000,1,10.2,0,16.0446,5.5628,15.802,6.35e-06,-1.12e-05,-2.51e-06
158,158,158,158,0158000000,1,0.45,0,20.1784,7.01266,10.1123,-3.75e-05,3.89e-05,-2.39e-05
159,159,159,159,0159000000,1,0.35,0,28.1855,9.84053,-1.18818,-4.93e-06,3.8e-05,-2.07e-05
160,160,160,160,0160000000,1,2.4,0,12.4226,4.35379,-9.46443,-9.98e-06,4.08e-06,-1.12e-05
161,161,161,161,0161000000,1,11.4,0,21.4712,7.525639999999999,-5.36292,-1.32e-05,3.94e-05,2.33e-06
162,162,162,162,0162000000,1,0.0,0,27.3862,9.63979,-8.05345,-3.9299999999999986e-05,2.94e-05,-6.459999999999997e-05
163,163,163,163,0163000000,1,9.2,0,19.2198,6.795489999999999,1.95357,2.71e-06,1.02e-05,-6.22e-05
164,164,164,164,0164000000,1,3.9,0,20.3202,7.222389999999999,-4.9391,-2.1600000000000007e-05,1.22e-05,-7.099999999999999e-05
165,165,165,165,0165000000,2,3.6,0,50.9803,18.2216,-0.822831,-2.127e-05,0.0001118,-6.74e-05
166,166,166,166,0166000000,1,3.3,0,10.1813,3.7399,16.9133,-2.37e-05,-3.9299999999999986e-05,2.3e-05
167,167,167,167,0167000000,1,10.2,0,22.7532,8.44722,14.7808,-1.91e-05,7.08e-05,-1.1e-05
168,168,168,168,0168000000,1,6.1,0,22.1637,8.23047,10.6902,-1.53e-05,4.02e-05,7.7e-07
169,169,169,169,0169000000,1,1.75,0,3.82746,1.42181,23.5201,-5.05e-06,3.3e-05,-1.57e-05
170,170,170,170,0170000000,1,7.9,0,11.6993,4.34957,-11.1038,-3.72e-05,9.32e-05,-4.73e-05
171,171,171,171,0171000000,1,2.4,0,14.3698,5.3552300000000015,-16.2815,-1.51e-06,-1.4e-05,-5.93e-06
172,172,172,172,0172000000,1,13.3,0,3.61943,1.3529799999999998,16.3592,-1.27e-06,-3.44e-06,-2.23e-05
173,173,173,173,0173000000,1,4.7,0,24.6882,9.24611,-13.3706,-1.0800000000000003e-05,-1.31e-05,-2.89e-05
174,174,174,174,0174000000,1,0.0,0,22.8697,8.58452,8.26012,-2.21e-05,6.59e-05,3.4e-07
175,175,175,175,0175000000,1,6.0,0,19.261,7.23826,-13.472,-3.3100000000000005e-05,3.2899999999999987e-05,-2.9600000000000005e-05
176,176,176,176,0176000000,3,5.2,0,82.8814,31.411,-20.3981,7.14e-06,0.0002228,-3.358e-05
177,177,177,177,0177000000,1,5.8,0,23.0603,8.90593,20.0625,-8.95e-06,3.13e-05,-3.61e-06
178,178,178,178,0178000000,1,0.8,0,28.1439,10.9303,10.102,-1.46e-05,8.46e-05,-2.55e-05
179,179,179,179,0179000000,1,10.2,0,19.6863,7.65857,-13.6399,-1.17e-06,3e-05,1.51e-05
180,180,180,180,0180000000,1,0.6,0,14.0824,5.53413,26.4576,-6.85e-06,4.45e-05,2.58e-06
181,181,181,181,0181000000,1,12.8,0,22.1489,8.75308,8.280619999999999,-7.26e-06,-6.39e-06,-1.85e-06
182,182,182,182,0182000000,1,11.2,0,27.2605,10.8794,-0.080728,-1.25e-05,4.07e-05,-5.1e-05
183,183,183,183,0183000000,1,8.9,0,18.6418,7.4992800000000015,20.381,-1.14e-06,5.290000000000001e-05,-2.64e-06
184,184,184,184,0184000000,1,8.4,0,20.4057,8.35667,8.7853,-2.64e-06,5.56e-05,-1.55e-05
185,185,185,185,0185000000,1,8.0,0,9.01986,3.79296,27.2751,3.37e-06,2.24e-05,1.21e-06
186,186,186,186,0186000000,1,7.8,0,15.2439,6.50496,-6.66435,-6.39e-06,-5.81e-05,-7.140000000000001e-05
187,187,187,187,0187000000,2,3.2,0,32.302,13.8969,-15.8105,-7.35e-05,2.484e-05,-5.87e-06
188,188,188,188,0188000000,1,5.7,0,26.8791,11.6475,-3.61002,-2.53e-05,1.66e-05,-9.7e-06
189,189,189,189,0189000000,1,8.0,0,6.79752,2.97522,19.2779,-5.87e-06,-4.4e-05,-2.77e-05
190,190,190,190,0190000000,1,5.2,0,3.48024,1.52568,30.2876,-3.52e-05,3.2299999999999986e-05,2.42e-06
191,191,191,191,0191000000,3,8.6,0,54.6791,24.064,-34.3653,2.694e-05,5.95e-05,1.434e-05
192,192,192,192,0192000000,1,8.2,0,9.22993,4.14797,8.92295,-4.2e-07,-1.26e-05,-3.81e-05
193,193,193,193,0193000000,1,2.9,0,13.389,6.05572,-17.0215,-1.3800000000000007e-05,5.33e-05,8.1e-06
194,194,194,194,0194000000,1,6.9,0,21.6615,9.82508,-2.8196,-9.42e-06,1.75e-05,-1.13e-05
195,195,195,195,0195000000,1,6.9,0,22.8186,10.3607,5.36263,-6.48e-06,1.39e-05,8e-07
196,196,196,196,0196000000,1,2.9,0,3.0478400000000003,1.38779,-27.1768,8.36e-06,2.1600000000000007e-05,-3.52e-06
197,197,197,197,0197000000,1,4.7,0,18.3858,8.4273,0.230014,-2.11e-05,4.57e-05,1.59e-05
198,198,198,198,0198000000,1,6.7,0,13.496,6.26465,15.3421,8.18e-06,2.860000000000001e-05,-1.4e-05
199,199,199,199,0199000000,1,1.6,0,6.70065,3.11611,25.2858,3.99e-06,2.380000000000001e-05,-3.98e-06
200,200,200,200,0200000000,1,4.5,0,10.6669,4.97034,3.2104,-2.64e-06,6.99e-06,-2.05e-06
201,201,201,201,0201000000,1,10.8,0,18.3064,8.608189999999999,-23.4621,-3.56e-06,4.68e-05,1.44e-05
202,202,202,202,0202000000,1,9.0,0,8.465580000000001,4.02816,8.62486,-1.21e-05,4.84e-05,-6.04e-06
203,203,203,203,0203000000,1,3.4,0,9.29716,4.45887,-14.0578,-5.62e-06,1.3e-05,-1.6e-05
204,204,204,204,0204000000,1,5.9,0,6.3708,3.05566,2.60927,-1.67e-05,-2.02e-05,-3.510000000000001e-05
205,205,205,205,0205000000,1,0.3,0,15.5839,7.510910000000001,-15.6881,-4.13e-05,6.159999999999999e-05,-1.15e-05
206,206,206,206,0206000000,1,3.6,0,24.3147,11.7593,-10.7044,-3.54e-06,6.19e-06,-1.24e-06
207,207,207,207,0207000000,1,2.7,0,16.8534,8.153260000000001,9.88857,-2.32e-05,5.16e-05,-3.02e-06
208,208,208,208,0208000000,1,2.3,0,10.2429,4.95912,0.860009,-1.07e-05,-3.1e-05,-4.41e-05
209,209,209,209,0209000000,1,8.2,0,5.38696,2.61806,12.1847,2.17e-05,-1.83e-05,-6.34e-05
210,210,210,210,0210000000,1,7.4,0,3.15408,1.53951,-1.00226,2.07e-06,-3.2899999999999987e-05,1.93e-05
211,211,211,211,0211000000,1,0.0,0,15.7406,7.78834,18.5295,-3.9e-05,3.53e-05,1.83e-05
212,212,212,212,0212000000,1,6.6,0,20.3003,10.0502,-18.9774,-6.73e-06,4.120000000000001e-05,1.46e-05
213,213,213,213,0213000000,1,11.0,0,22.8104,11.3289,-11.9048,-9.6e-07,2.380000000000001e-05,-1.5399999999999998e-05
214,214,214,214,0214000000,1,3.5,0,20.9655,10.5268,5.1630400000000005,1.95e-05,1.41e-05,-3.78e-06
215,215,215,215,0215000000,1,0.0,0,23.0567,11.7093,14.0299,-9.8e-07,1.12e-06,6.8e-07
216,216,216,216,0216000000,1,1.35,0,3.95526,2.00981,9.03725,-1.62e-06,3.1e-05,-1.64e-06
217,217,217,217,0217000000,1,1.5,0,16.9292,8.632010000000001,7.3733,-8.53e-06,3.35e-05,-1.96e-05
218,218,218,218,0218000000,1,10.9,0,20.8554,10.7059,15.0444,-2.93e-05,-4.04e-05,1.92e-05
219,219,219,219,0219000000,1,3.0,0,23.7849,12.2468,-16.9412,2.61e-06,2.34e-05,2.0600000000000006e-05
220,220,220,220,0220000000,2,0.2,0,39.9211,20.6685,-8.49001,7.27e-06,-3.02e-05,-2.0600000000000006e-05
221,221,221,221,0221000000,1,10.4,0,19.0212,9.88225,-16.991,3.620000000000001e-05,1.91e-05,1.5399999999999998e-05
222,222,222,222,0222000000,1,8.2,0,19.7758,10.309,12.5994,-2.32e-05,-1.7100000000000002e-05,-2.52e-05
223,223,223,223,0223000000,1,11.8,0,14.3751,7.6282,-3.1053900000000003,-2.85e-05,3.65e-05,-4.24e-05
224,224,224,224,0224000000,1,3.8,0,4.2126800000000015,2.2391,-30.1876,-3.66e-06,1.22e-05,3.9e-07
